version,source_name,source_url,published_on,nutrient_code,gender,age_min,age_max,reference_type,reference_amount,unit
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,1,2,RNI,20,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,3,5,RNI,25,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,6,8,RNI,35,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,9,11,RNI,45,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,12,14,RNI,55,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,15,18,RNI,55,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,19,29,RNI,55,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,30,49,RNI,50,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,50,64,RNI,50,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,65,74,RNI,50,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,FEMALE,75,120,RNI,50,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,1,2,RNI,20,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,3,5,RNI,25,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,6,8,RNI,35,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,9,11,RNI,50,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,12,14,RNI,60,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,15,18,RNI,65,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,19,29,RNI,65,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,30,49,RNI,65,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,50,64,RNI,60,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,65,74,RNI,60,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,PROTEIN,MALE,75,120,RNI,60,G
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,1,2,RNI,40,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,3,5,RNI,45,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,6,8,RNI,50,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,9,11,RNI,70,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,12,14,RNI,90,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,15,18,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,19,29,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,30,49,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,50,64,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,65,74,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,FEMALE,75,120,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,1,2,RNI,40,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,3,5,RNI,45,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,6,8,RNI,50,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,9,11,RNI,70,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,12,14,RNI,90,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,15,18,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,19,29,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,30,49,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,50,64,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,65,74,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_C,MALE,75,120,RNI,100,MG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,1,2,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,3,5,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,6,8,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,9,11,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,12,14,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,15,18,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,19,29,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,30,49,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,50,64,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,65,74,AI,15,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,FEMALE,75,120,AI,15,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,1,2,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,3,5,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,6,8,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,9,11,AI,5,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,12,14,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,15,18,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,19,29,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,30,49,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,50,64,AI,10,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,65,74,AI,15,MCG
KDRI-2025-20260316,보건복지부·한국영양학회 2025 한국인 영양소 섭취기준,https://www.kns.or.kr/fileroom/FileRoom_view.asp?BoardID=Kdr&idx=167,2025-12-31,VITAMIN_D,MALE,75,120,AI,15,MCG
